drug,brand_name,type
GOSERELIN,ZOLADEX,HORMONE
LEUPROLIDE,LUPRON,HORMONE
LEUPROLIDE,ELIGARD,HORMONE
ANASTROZOLE,ARIMIDEX,HORMONE
LETROZOLE,FEMARA,HORMONE
EXEMESTANE,AROMASIN,HORMONE
TAMOXIFEN,NOLVADEX,HORMONE
TOREMIFENE,FARESTON,HORMONE
FULVESTRANT,FASLODEX,HORMONE
RALOXIFENE,,HORMONE
ELACESTRANT,ORSERDU,HORMONE
MEGESTROL ACETATE,MEGACE,HORMONE
ANDROGENS,,HORMONE
ESTRADIOL,,HORMONE
LEUPROLIDE,CAMCEVI,HORMONE
TRIPTORELIN,TRELSTAR,HORMONE
DEGARELIX,FIRMAGON,HORMONE
RELUGOLIX,ORGOVYX,HORMONE
ABIRATERONE,ZYTIGA,HORMONE
KETOCONAZOLE,NIZORAL,HORMONE
FLUTAMIDE,EULEXIN,HORMONE
BICALUTAMIDE,CASODEX,HORMONE
NILUTAMIDE,NILANDRON,HORMONE
ENZALUTAMIDE,XTANDI,HORMONE
APALUTAMIDE,ERLEADA,HORMONE
DAROLUTAMIDE,NUBEQA,HORMONE
MEDROXYPROGESTERONE ACETATE,PROVERA,HORMONE
MEGESTROL ACETATE,MEGACE,HORMONE
