drug,brand_name,type
ERDAFITINIB,BALVERSA,TARGETED
NOGAPENDEKIN ALFA INBAKICEPT-PMLN,ANKTIVA,TARGETED
BELZUTIFAN,WELIREG,TARGETED
DABRAFENIB,TAFINLAR,TARGETED
EVEROLIMUS,AFINITOR,TARGETED
TOVORAFENIB,OJEMDA,TARGETED
TRAMETINIB,MEKINIST,TARGETED
VORASIDENIB,VORANIGO,TARGETED
ABEMACICLIB,VERZENIO,TARGETED
ALPELISIB,PIQRAY,TARGETED
CAPIVASERTIB,TRUQAP,TARGETED
DATOPOTAMAB DERUXTECAN-DLNK,DATROWAY,TARGETED
INAVOLISIB,ITOVEBI,TARGETED
LAPATINIB DITOSYLATE,TYKERB,TARGETED
NERATINIB MALEATE,NERLYNX,TARGETED
OLAPARIB,LYNPARZA,TARGETED
PALBOCICLIB,IBRANCE,TARGETED
PERTUZUMAB TRASTUZUMAB AND HYALURONIDASE-ZZXF,PHESGO,TARGETED
RIBOCICLIB,KISQALI,TARGETED
RIBOCICLIB SUCCINATE AND LETROZOLE,KISQUALI FEMARA CO-PACK,TARGETED
TALAZOPARIB TOSYLATE,TALZENNA,TARGETED
TAMOXIFEN CITRATE,SOLTAMOX,TARGETED
TUCATINIB,TUKYSA,TARGETED
ADAGRASIB,KRAZATI,TARGETED
ENCORAFENIB,BRAFTOVI,TARGETED
FRUQUINTINIB,FRUZALQA,TARGETED
REGORAFENIB,STIVARGA,TARGETED
SOTORASIB,LUMAKRAS,TARGETED
ZIV-AFLIBERCEPT,ZALTRAP,TARGETED
IMATINIB MESYLATE,GLEEVEC,TARGETED
IOBENGUANE I 131,AZEDRA,TARGETED
LANREOTIDE ACETATE,SOMATULINE DEPOT,TARGETED
LUTETIUM LU 177-DOTATATE,LUTATHERA,TARGETED
LENVATINIB MESYLATE,LENVIMA,TARGETED
TISLELIZUMAB-JSGR,TEVIMBRA,TARGETED
ZOLBETUXIMAB-CLZB,VYLOY,TARGETED
TORIPALIMAB-TPZI,LOQTORZI,TARGETED
AVAPRITINIB,AYVAKIT,TARGETED
RIPRETINIB,QINLOCK,TARGETED
SUNITINIB MALATE,SUTENT,TARGETED
AXITINIB,INLYTA,TARGETED
CABOZANTINIB-S-MALATE,CABOMETYX,TARGETED
PAZOPANIB HYDROCHLORIDE,VOTRIENT,TARGETED
SORAFENIB TOSYLATE,NEXAVAR,TARGETED
TEMSIROLIMUS,TORISEL,TARGETED
TIVOZANIB HYDROCHLORIDE,FOTIVDA,TARGETED
ACALABRUTINIB,CALQUENCE,TARGETED
ASCIMINIB HYDROCHLORIDE,SCEMBLIX,TARGETED
BOSUTINIB,BOSULIF,TARGETED
DASATINIB,SPRYCEL,TARGETED
DUVELISIB,COPIKTRA,TARGETED
ENASIDENIB MESYLATE,IDHIFA,TARGETED
GILTERITINIB FUMARATE,XOSPATA,TARGETED
GLASDEGIB MALEATE,DAURISMO,TARGETED
IBRUTINIB,IMBRUVICA,TARGETED
IDELALISIB,ZYDELIG,TARGETED
IVOSIDENIB,TIBSOVO,TARGETED
MIDOSTAURIN,RYDAPT,TARGETED
NILOTINIB,TASIGNA,TARGETED
OBECABTAGENE AUTOLEUCEL,AUCATZYL,TARGETED
OLUTASIDENIB,REZLIDHIA,TARGETED
PEMIGATINIB,PEMAZYRE,TARGETED
PIRTOBRUTINIB,JAYPIRCA,TARGETED
PONATINIB HYDROCHLORIDE,ICLUSIG,TARGETED
QUIZARTINIB DIHYDROCHLORIDE,VANFLYTA,TARGETED
REVUMENIB CITRATE,REVUFORJ,TARGETED
RITUXIMAB AND HYALURONIDASE HUMAN,RITUXAN HYCELA,TARGETED
TAGRAXOFUSP-ERZS,ELZONRIS,TARGETED
TRETINOIN,VESANOID,TARGETED
VENETOCLAX,VENCLEXTA,TARGETED
ZANUBRUTINIB,BRUKINSA,TARGETED
ATEZOLIZUMAB AND HYALURONIDASE-TQJS,TECENTRIQ HYBREZA,TARGETED
FUTIBATINIB,LYTGOBI,TARGETED
ZANIDATAMAB-HRII,ZIIHERA,TARGETED
AFATINIB DIMALEATE,GILOTRIF,TARGETED
ALECTINIB,ALECENSA,TARGETED
BINIMETINIB,MEKTOVI,TARGETED
BRIGATINIB,ALUNBRIG,TARGETED
CAPMATINIB HYDROCHLORIDE,TABRECTA,TARGETED
