"","Eye disorders","Gastrointestinal disorders","Immune system disorders","Nervous system disorders","Vascular disorders","General disorders and administration site conditions","Metabolism and nutrition disorders","Psychiatric disorders","Skin and subcutaneous tissue disorders","Infections and infestations","Musculoskeletal and connective tissue disorders","Respiratory thoracic and mediastinal disorders","Neoplasms benign malignant and unspecified (incl cysts and polyps)","Ear and labyrinth disorders","Blood and lymphatic system disorders","Renal and urinary disorders","Cardiac disorders","Reproductive system and breast disorders","Endocrine disorders","Hepatobiliary disorders"
"Eye disorders",0,17276,2611,18608,6773,22767,6854,7197,13847,9941,11458,10397,6485,2619,5047,4012,3894,1557,1446,2162
"Gastrointestinal disorders",17276,0,11694,93789,42557,170289,69428,35770,75882,72015,59629,64644,47030,6233,55753,31117,23286,6835,7964,20648
"Immune system disorders",2611,11694,0,13178,6676,19696,5155,4162,10770,13781,5867,10976,7188,801,8921,3815,4711,766,984,2765
"Nervous system disorders",18608,93789,13178,0,37356,125941,41735,38673,50273,47875,53743,47454,34560,7045,32708,20161,21961,5084,5566,10698
"Vascular disorders",6773,42557,6676,37356,0,59775,20365,15592,26787,26563,23299,31023,16301,2675,19987,15382,17971,3658,3868,6658
"General disorders and administration site conditions",22767,170289,19696,125941,59775,0,72955,53358,95932,97241,84886,93227,93386,7722,73294,38424,37507,8576,8975,23114
"Metabolism and nutrition disorders",6854,69428,5155,41735,20365,72955,0,18462,27179,32501,24184,29342,21044,2630,26746,20782,13832,2883,6261,9906
"Psychiatric disorders",7197,35770,4162,38673,15592,53358,18462,0,26693,18504,22490,19649,12988,3006,9836,9139,8149,3457,2175,3816
"Skin and subcutaneous tissue disorders",13847,75882,10770,50273,26787,95932,27179,26693,0,36294,37114,37910,25224,3953,26045,14106,12362,4753,5510,10343
"Infections and infestations",9941,72015,13781,47875,26563,97241,32501,18504,36294,0,31522,55188,35288,3967,55560,24213,21802,4228,4603,13913
"Musculoskeletal and connective tissue disorders",11458,59629,5867,53743,23299,84886,24184,22490,37114,31522,0,31657,23555,4207,17489,13813,12220,5116,4101,6856
"Respiratory thoracic and mediastinal disorders",10397,64644,10976,47454,31023,93227,29342,19649,37910,55188,31657,0,30709,3933,31010,17669,29170,3681,4684,10112
"Neoplasms benign malignant and unspecified (incl cysts and polyps)",6485,47030,7188,34560,16301,93386,21044,12988,25224,35288,23555,30709,0,2361,30352,14324,12308,3806,4495,11654
"Ear and labyrinth disorders",2619,6233,801,7045,2675,7722,2630,3006,3953,3967,4207,3933,2361,0,2145,1643,1504,634,499,756
"Blood and lymphatic system disorders",5047,55753,8921,32708,19987,73294,26746,9836,26045,55560,17489,31010,30352,2145,0,20001,15089,2564,3636,14421
"Renal and urinary disorders",4012,31117,3815,20161,15382,38424,20782,9139,14106,24213,13813,17669,14324,1643,20001,0,10721,3152,3291,9080
"Cardiac disorders",3894,23286,4711,21961,17971,37507,13832,8149,12362,21802,12220,29170,12308,1504,15089,10721,0,1655,2810,5659
"Reproductive system and breast disorders",1557,6835,766,5084,3658,8576,2883,3457,4753,4228,5116,3681,3806,634,2564,3152,1655,0,717,1148
"Endocrine disorders",1446,7964,984,5566,3868,8975,6261,2175,5510,4603,4101,4684,4495,499,3636,3291,2810,717,0,3132
"Hepatobiliary disorders",2162,20648,2765,10698,6658,23114,9906,3816,10343,13913,6856,10112,11654,756,14421,9080,5659,1148,3132,0
