"","Leukemia","Mature B-Cell Neoplasms","Other Cancer","Mastocytosis","Breast Cancer","Lung Cancer","Head and Neck Cancer","Bone Cancer","Pancreatic Cancer","Bladder/Urinary Tract Cancer","Colorectal Cancer","Gastrointestinal Stromal Tumor","Other Neuroendocrine","Cervical Cancer","Prostate Cancer","Hodgkin Lymphoma","Esophageal/Stomach Cancer","Hepatobiliary Cancer","Thyroid Cancer","Myelodysplastic Syndromes","Kidney Cancer","Glioma","Histiocytosis","Ovarian/Fallopian Tube Cancer","Non-Hodgkin Lymphoma","Melanoma","Soft Tissue Cancer","Mature T and NK Neoplasms","CNS/Brain Cancer","Thymic Tumor","Uterine Cancer","Bowel Cancer","Adrenal Gland Cancer","Soft Tissue Sarcoma","Adrenocortical Carcinoma","Anal Cancer","Sellar Tumor","Medulloblastoma","Endometrial Cancer","Liver Cancer","Salivary Gland Cancer","Testicular Cancer","Non-Melanoma Skin Cancer","Skin Cancer","Germ Cell Tumor","Uterine Sarcoma","Appendiceal Cancer","Peritoneal Cancer NOS","Mesothelioma","Peripheral Nervous System Cancer","Ampullary Cancer","Biliary Tract Cancer","Small Bowel Cancer","Vulvar/Vaginal Cancer","Nerve Sheath Tumor","Eye Cancer","Penile Cancer","Angiomatoid Fibrous Histiocytoma","Carcinoma of Unknown Primary","Breast Sarcoma","Rhabdoid Cancer","Gestational Trophoblastic Disease","Myelodysplastic/Myeloproliferative Neoplasms","Melanocytoma"
"Leukemia",0,979,2634,92,252,135,24,268,16,13,71,44,3,7,137,2565,16,36,46,1448,73,28,125,62,514,42,6,203,31,4,3,0,0,8,1,0,12,2,5,0,7,2,22,53,11,0,2,4,1,27,0,0,7,2,0,0,2,0,1,0,0,0,6,0
"Mature B-Cell Neoplasms",979,0,2362,8,279,94,23,377,23,28,90,12,3,9,291,929,10,16,37,985,71,7,35,27,227,59,2,28,26,0,3,5,0,3,1,1,16,1,7,0,1,2,14,29,1,0,1,3,1,2,1,0,1,0,0,2,1,0,2,0,0,0,0,0
"Other Cancer",2634,2362,0,152,13227,7563,793,1604,1510,746,4342,446,832,285,5707,2176,1447,1442,559,700,3171,168,148,968,343,1540,85,194,323,93,239,20,143,329,94,64,47,56,329,15,130,113,138,241,177,59,97,229,81,220,29,6,176,57,4,10,18,26,57,4,12,41,1,0
"Mastocytosis",92,8,152,0,2,8,0,3,0,1,0,17,0,0,0,7,0,1,1,25,1,1,4,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Breast Cancer",252,279,13227,2,0,496,42,768,57,39,146,36,60,31,56,266,83,169,96,37,134,8,24,338,112,57,13,14,96,2,44,1,7,15,0,12,9,0,63,0,9,0,12,25,27,1,2,32,6,0,2,0,4,3,0,1,1,0,4,1,0,0,0,0
"Lung Cancer",135,94,7563,8,496,0,135,498,140,107,249,54,114,25,198,261,130,282,87,23,331,14,15,57,28,219,5,21,231,12,28,4,32,36,1,7,6,0,27,2,29,5,8,22,19,0,1,35,50,0,8,0,11,5,1,3,4,0,14,1,1,1,0,0
"Head and Neck Cancer",24,23,793,0,42,135,0,62,8,4,19,7,16,5,16,37,60,21,12,9,25,3,0,2,0,31,2,0,71,0,2,2,4,20,0,0,3,1,2,0,12,1,9,25,0,0,0,1,2,0,0,0,0,1,1,5,0,0,3,0,0,0,0,0
"Bone Cancer",268,377,1604,3,768,498,62,0,22,28,38,64,34,12,422,158,35,111,32,30,211,14,25,27,22,75,423,13,59,0,27,0,11,1015,0,1,1,16,10,0,6,5,4,50,18,5,1,30,10,16,1,0,2,5,1,0,0,6,1,1,0,0,0,0
"Pancreatic Cancer",16,23,1510,0,57,140,8,22,0,13,65,19,208,5,32,30,33,169,9,1,37,1,0,22,3,12,3,7,5,0,4,0,2,4,0,2,2,0,3,0,0,0,0,2,0,0,2,9,1,1,6,3,20,1,0,0,0,0,1,0,4,0,0,0
"Bladder/Urinary Tract Cancer",13,28,746,1,39,107,4,28,13,0,28,9,11,5,83,12,13,84,5,1,302,2,0,5,3,13,0,9,2,0,40,1,2,3,0,2,1,0,2,0,0,1,0,1,1,0,0,2,2,0,0,2,2,2,0,0,1,0,1,0,0,0,0,0
"Colorectal Cancer",71,90,4342,0,146,249,19,38,65,28,0,66,40,18,107,65,138,291,9,13,66,10,0,62,11,28,4,3,17,2,16,15,6,9,0,106,1,0,18,2,3,0,1,3,4,0,45,44,1,0,1,0,33,3,0,0,0,0,1,0,0,0,0,0
"Gastrointestinal Stromal Tumor",44,12,446,17,36,54,7,64,19,9,66,0,35,1,23,11,62,51,13,0,19,2,0,12,0,14,14,6,5,0,2,0,2,44,0,3,0,0,1,2,0,0,0,0,0,0,4,11,2,0,1,1,17,2,0,0,0,0,0,0,0,1,0,0
"Other Neuroendocrine",3,3,832,0,60,114,16,34,208,11,40,35,0,5,22,10,27,99,10,1,57,2,0,13,3,1,1,0,6,2,3,4,12,2,1,1,16,8,3,10,1,3,0,0,5,1,2,8,0,4,3,2,56,3,1,0,0,0,2,0,2,0,0,0
"Cervical Cancer",7,9,285,0,31,25,5,12,5,5,18,1,5,0,2,22,8,10,3,3,6,3,0,47,0,7,0,0,2,0,36,1,1,3,0,1,0,0,72,0,0,0,0,2,1,1,0,14,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0
"Prostate Cancer",137,291,5707,0,56,198,16,422,32,83,107,23,22,2,0,98,29,42,16,34,147,2,0,6,25,36,4,3,15,0,5,0,2,5,0,8,0,1,3,0,3,7,12,11,0,0,0,5,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Hodgkin Lymphoma",2565,929,2176,7,266,261,37,158,30,12,65,11,10,22,98,0,50,26,22,135,66,9,274,22,2388,35,2,402,35,1,14,0,8,7,1,7,8,1,5,0,3,32,12,27,2,0,1,2,5,19,0,1,16,0,1,1,0,0,2,0,0,0,0,0
"Esophageal/Stomach Cancer",16,10,1447,0,83,130,60,35,33,13,138,62,27,8,29,50,0,74,15,6,14,3,5,21,3,18,5,0,8,1,5,1,1,15,0,0,0,0,7,0,1,3,1,4,1,0,5,11,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"Hepatobiliary Cancer",36,16,1442,1,169,282,21,111,169,84,291,51,99,10,42,26,74,0,37,6,153,3,0,42,6,38,2,3,32,3,7,2,6,18,1,4,1,0,18,0,3,1,2,4,1,0,4,23,2,3,4,21,12,1,0,0,0,0,4,0,1,0,0,0
"Thyroid Cancer",46,37,559,1,96,87,12,32,9,5,9,13,10,3,16,22,15,37,0,3,39,2,2,15,2,18,3,1,4,2,1,0,4,2,0,0,9,0,7,0,1,1,3,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myelodysplastic Syndromes",1448,985,700,25,37,23,9,30,1,1,13,0,1,3,34,135,6,6,3,0,9,31,11,9,27,9,1,15,5,0,2,0,0,2,0,2,1,2,5,0,1,0,9,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kidney Cancer",73,71,3171,1,134,331,25,211,37,302,66,19,57,6,147,66,14,153,39,9,0,5,14,11,9,58,8,7,55,0,50,0,19,30,1,0,4,2,5,0,0,1,3,9,1,0,0,15,4,16,0,0,3,2,0,2,2,0,4,0,3,0,0,0
"Glioma",28,7,168,1,8,14,3,14,1,2,10,2,2,3,2,9,3,3,2,31,5,0,3,10,2,9,0,0,378,0,1,0,0,65,0,0,3,7,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Histiocytosis",125,35,148,4,24,15,0,25,0,0,0,0,0,0,0,274,5,0,2,11,14,3,0,1,11,14,1,124,2,0,0,0,1,0,0,0,3,0,1,0,0,0,0,3,2,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ovarian/Fallopian Tube Cancer",62,27,968,0,338,57,2,27,22,5,62,12,13,47,6,22,21,42,15,9,11,10,1,0,2,19,3,0,7,1,243,1,3,4,0,0,0,0,170,0,2,1,0,5,11,2,2,1257,3,0,0,0,5,7,0,0,0,0,6,0,0,11,0,0
"Non-Hodgkin Lymphoma",514,227,343,1,112,28,0,22,3,3,11,0,3,0,25,2388,3,6,2,27,9,2,11,2,0,6,0,83,10,1,0,0,0,1,0,1,0,0,0,0,2,2,5,2,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Melanoma",42,59,1540,2,57,219,31,75,12,13,28,14,1,7,36,35,18,38,18,9,58,9,14,19,6,0,3,4,59,0,2,0,1,14,0,3,5,0,7,0,1,3,14,56,4,1,2,4,3,1,0,0,3,5,0,3,0,0,3,0,0,0,0,0
"Soft Tissue Cancer",6,2,85,0,13,5,2,423,3,0,4,14,1,0,4,2,5,2,3,1,8,0,1,3,0,3,0,0,2,0,2,0,1,15,0,0,2,0,4,0,0,1,0,29,0,1,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Mature T and NK Neoplasms",203,28,194,0,14,21,0,13,7,9,3,6,0,0,3,402,0,3,1,15,7,0,124,0,83,4,0,0,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CNS/Brain Cancer",31,26,323,1,96,231,71,59,5,2,17,5,6,2,15,35,8,32,4,5,55,378,2,7,10,59,2,4,0,1,0,0,2,36,0,0,23,21,1,0,3,1,0,3,9,0,0,0,1,7,0,0,2,0,1,1,0,0,0,0,5,0,0,0
"Thymic Tumor",4,0,93,0,2,12,0,0,0,0,2,0,2,0,0,1,1,3,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Uterine Cancer",3,3,239,0,44,28,2,27,4,40,16,2,3,36,5,14,5,7,1,2,50,1,0,243,0,2,2,0,0,0,0,0,0,11,0,1,0,0,168,0,0,1,0,0,0,2,1,14,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"Bowel Cancer",0,5,20,0,1,4,2,0,0,1,15,0,4,1,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0
"Adrenal Gland Cancer",0,0,143,0,7,32,4,11,2,2,6,2,12,1,2,8,1,6,4,0,19,0,1,3,0,1,1,1,2,0,0,0,0,2,11,0,1,0,0,1,0,0,0,0,0,0,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0
