"item","count"
"Leukemia",233516
"Mature B-Cell Neoplasms",411147
"Other Cancer",296787
"Mastocytosis",6472
"Breast Cancer",197190
"Lung Cancer",166865
"Head and Neck Cancer",15521
"Bone Cancer",22316
"Pancreatic Cancer",24557
"Bladder/Urinary Tract Cancer",11701
"Colorectal Cancer",60579
"Gastrointestinal Stromal Tumor",17107
"Other Neuroendocrine",12494
"Cervical Cancer",5767
"Prostate Cancer",138308
"Hodgkin Lymphoma",130638
"Esophageal/Stomach Cancer",28893
"Hepatobiliary Cancer",39978
"Thyroid Cancer",11568
"Myelodysplastic Syndromes",31187
"Kidney Cancer",70803
"Glioma",11635
"Histiocytosis",5987
"Ovarian/Fallopian Tube Cancer",47107
"Non-Hodgkin Lymphoma",24708
"Melanoma",40142
"Soft Tissue Cancer",5097
"Mature T and NK Neoplasms",11631
"CNS/Brain Cancer",14528
"Thymic Tumor",1158
"Uterine Cancer",4593
"Bowel Cancer",290
"Adrenal Gland Cancer",1269
"Soft Tissue Sarcoma",6562
"Adrenocortical Carcinoma",788
"Anal Cancer",1355
"Sellar Tumor",2645
"Medulloblastoma",1625
"Endometrial Cancer",11605
"Liver Cancer",118
"Salivary Gland Cancer",1184
"Testicular Cancer",1421
"Non-Melanoma Skin Cancer",7246
"Skin Cancer",5271
"Germ Cell Tumor",1807
"Uterine Sarcoma",583
"Appendiceal Cancer",764
"Peritoneal Cancer NOS",3594
"Mesothelioma",3395
"Peripheral Nervous System Cancer",3390
"Ampullary Cancer",281
"Biliary Tract Cancer",311
"Small Bowel Cancer",2288
"Vulvar/Vaginal Cancer",636
"Nerve Sheath Tumor",65
"Eye Cancer",118
"Penile Cancer",258
"Angiomatoid Fibrous Histiocytoma",153
"Carcinoma of Unknown Primary",507
"Breast Sarcoma",61
"Rhabdoid Cancer",241
"Gestational Trophoblastic Disease",665
"Myelodysplastic/Myeloproliferative Neoplasms",19
"Melanocytoma",2
