"item","count"
"Mature T and NK Neoplasms",10751
"Mature B-Cell Neoplasms",406583
"Gastrointestinal Stromal Tumor",16542
"Leukemia",226462
"Other",241054
"Colorectal",58947
"Pancreatic",23719
"Prostate",136603
"Glioma",11085
"Breast",193742
"Esophageal/Stomach",28156
"Multiple Tumor Types",30058
"Lung",163153
"Kidney",69075
"Myelodysplastic Syndromes",28432
"Hodgkin Lymphoma",123055
"Melanoma",39325
"Hepatobiliary",38435
"Non-Hodgkin Lymphoma",21482
"Bone",17745
"Head and Neck",14924
"Thyroid",11096
"Ovarian/Fallopian Tube",44781
"Soft Tissue",4590
"Peripheral Nervous System",3277
"Soft Tissue Sarcoma",5287
"Ampullary",249
"Adrenal Gland",1144
"Peritoneal Cancer NOS",2074
"Medulloblastoma",1576
"Uterine",3950
"Mesothelioma",3298
"CNS/Brain",13412
"Other Neuroendocrine",11666
"Bladder/Urinary Tract",10949
"Skin",4817
"Liver",93
"Bowel",246
"Non-Melanoma Skin Cancer",6991
"Anal",1204
"Endometrial",11050
"Salivary Gland",1107
"Testicular",1321
"Thymic Tumor",1129
"Cervical",5497
"Germ Cell Tumor",1634
"Uterine Sarcoma",558
"Adrenocortical Carcinoma",772
"Sellar Tumor",2522
"Appendiceal",678
"Small Bowel",2085
"Mastocytosis",6299
"Biliary Tract",287
"Histiocytosis",5310
"Vulvar/Vaginal",584
"Penile",248
"Nerve Sheath Tumor",60
"Carcinoma of Unknown Primary",451
"Angiomatoid Fibrous Histiocytoma",144
"Breast Sarcoma",58
"Eye",97
"Rhabdoid",224
"Gestational Trophoblastic Disease",634
"Myelodysplastic/Myeloproliferative Neoplasms",13
"Melanocytoma",2
