"","Blood and lymphatic system disorders","Eye disorders","Gastrointestinal disorders","Immune system disorders","Skin and subcutaneous tissue disorders","Vascular disorders","General disorders and administration site conditions","Nervous system disorders","Cardiac disorders","Ear and labyrinth disorders","Endocrine disorders","Infections and infestations","Metabolism and nutrition disorders","Musculoskeletal and connective tissue disorders","Psychiatric disorders","Renal and urinary disorders","Reproductive system and breast disorders","Respiratory thoracic and mediastinal disorders","Neoplasms benign malignant and unspecified (incl cysts and polyps)","Hepatobiliary disorders"
"Blood and lymphatic system disorders",0,0.0882188428596399,0.243024588841958,0.157167773647399,0.113528875870156,0.145311386736074,0.319484946363109,0.142572565634903,0.126461443046674,0.126013394430737,0.132512117788549,0.242183311320631,0.182667549976437,0.102018911619388,0.104604913325534,0.192559859053231,0.135103804405101,0.138252956990446,0.132302877343481,0.181826205366149
"Eye disorders",0.0882188428596399,0,0.301975179164482,0.0459998942936171,0.242038105226359,0.118388393637476,0.397954902988988,0.325257822059081,0.0680650235972732,0.153859710962284,0.0526987135099676,0.173763328089495,0.119804230029715,0.200279671386121,0.125799685369691,0.0701276000699178,0.082042364843503,0.181733962593952,0.113354308687292,0.0377905960496417
"Gastrointestinal disorders",0.243024588841958,0.301975179164482,0,0.206021740279417,0.323440277227216,0.30940194553095,0.433835218587588,0.322011261415917,0.195160790164017,0.366173187639525,0.290243813550056,0.235035133697344,0.474173433775671,0.347834963745924,0.380410507284909,0.299579277744081,0.360153862366951,0.28820458405967,0.168475729894322,0.260338914666129
"Immune system disorders",0.157167773647399,0.0459998942936171,0.206021740279417,0,0.189742957312239,0.117615968710911,0.346998819612058,0.232166452317612,0.0829971283099311,0.0470567500881213,0.0358613652101024,0.24278994379944,0.0908194006448089,0.103363224749388,0.0733249942742376,0.0672116417963038,0.0403625250289809,0.193372209791935,0.126636246718698,0.0487130247881468
"Skin and subcutaneous tissue disorders",0.113528875870156,0.242038105226359,0.323440277227216,0.189742957312239,0,0.194749392930365,0.408905881701043,0.21428845440712,0.103606359529656,0.232228880272588,0.200809067385838,0.154704209983419,0.185624816451417,0.216497792088853,0.283888120812507,0.135805678306328,0.250447887027084,0.169015465962844,0.107515056967124,0.130409017550938
"Vascular disorders",0.145311386736074,0.118388393637476,0.30940194553095,0.117615968710911,0.194749392930365,0,0.434589155627935,0.271589141087345,0.150615587049624,0.157149571143226,0.140967236415321,0.193120846843965,0.148059558256874,0.169390603870705,0.165819419334255,0.148090383078686,0.192749499420381,0.225546362671397,0.118513079260756,0.0839469437159572
"General disorders and administration site conditions",0.319484946363109,0.397954902988988,0.433835218587588,0.346998819612058,0.408905881701043,0.434589155627935,0,0.432404037629609,0.314347494489469,0.453648219950652,0.327089179634826,0.317368415899426,0.498261837603043,0.495167095415595,0.567467829416144,0.369927504837825,0.451891664032037,0.415637162894173,0.334536987282823,0.291418700827113
"Nervous system disorders",0.142572565634903,0.325257822059081,0.322011261415917,0.232166452317612,0.21428845440712,0.271589141087345,0.432404037629609,0,0.184055918268143,0.413876160263189,0.202849958088852,0.164375472086795,0.285038143956727,0.313505882901959,0.411294267786877,0.194100260905564,0.267889134787649,0.211565811706695,0.123807988536629,0.134885011095421
"Cardiac disorders",0.126461443046674,0.0680650235972732,0.195160790164017,0.0829971283099311,0.103606359529656,0.150615587049624,0.314347494489469,0.184055918268143,0,0.0883562448595935,0.102408979919093,0.182723333640638,0.115926481557532,0.102416252503834,0.0866638306923322,0.103216551617903,0.0872062388028243,0.244474802417091,0.103153783618428,0.0713511196288077
"Ear and labyrinth disorders",0.126013394430737,0.153859710962284,0.366173187639525,0.0470567500881213,0.232228880272588,0.157149571143226,0.453648219950652,0.413876160263189,0.0883562448595935,0,0.0293150041123252,0.233051345317824,0.154505933497826,0.247150746093291,0.176594994712725,0.0965221478087181,0.0372459170485254,0.231053930207966,0.138702855128657,0.0444131124427212
"Endocrine disorders",0.132512117788549,0.0526987135099676,0.290243813550056,0.0358613652101024,0.200809067385838,0.140967236415321,0.327089179634826,0.202849958088852,0.102408979919093,0.0293150041123252,0,0.167753926892379,0.228178869492328,0.149458799518933,0.0792667371259886,0.11993877327891,0.0377805880493203,0.170705929516382,0.16381792339371,0.114144101461424
"Infections and infestations",0.242183311320631,0.173763328089495,0.235035133697344,0.24278994379944,0.154704209983419,0.193120846843965,0.317368415899426,0.164375472086795,0.182723333640638,0.233051345317824,0.167753926892379,0,0.221972558206244,0.183877873638649,0.19679889397001,0.233110937815903,0.22278427653072,0.246046571763583,0.126412323123769,0.175421121646157
"Metabolism and nutrition disorders",0.182667549976437,0.119804230029715,0.474173433775671,0.0908194006448089,0.185624816451417,0.148059558256874,0.498261837603043,0.285038143956727,0.115926481557532,0.154505933497826,0.228178869492328,0.221972558206244,0,0.165169820856583,0.196341593108582,0.200078945594932,0.151912741068606,0.200397489396868,0.14372451662694,0.124899132539843
"Musculoskeletal and connective tissue disorders",0.102018911619388,0.200279671386121,0.347834963745924,0.103363224749388,0.216497792088853,0.169390603870705,0.495167095415595,0.313505882901959,0.102416252503834,0.247150746093291,0.149458799518933,0.183877873638649,0.165169820856583,0,0.239178985430182,0.132984817414243,0.269575297713142,0.184665371669904,0.137409656475859,0.0864434133548517
"Psychiatric disorders",0.104604913325534,0.125799685369691,0.380410507284909,0.0733249942742376,0.283888120812507,0.165819419334255,0.567467829416144,0.411294267786877,0.0866638306923322,0.176594994712725,0.0792667371259886,0.19679889397001,0.196341593108582,0.239178985430182,0,0.097192385408912,0.182158288544631,0.208965223864724,0.138126129958524,0.0481137784950575
"Renal and urinary disorders",0.192559859053231,0.0701276000699178,0.299579277744081,0.0672116417963038,0.135805678306328,0.148090383078686,0.369927504837825,0.194100260905564,0.103216551617903,0.0965221478087181,0.11993877327891,0.233110937815903,0.200078945594932,0.132984817414243,0.097192385408912,0,0.166087048161029,0.170108502055474,0.137904475830132,0.114484567278596
"Reproductive system and breast disorders",0.135103804405101,0.082042364843503,0.360153862366951,0.0403625250289809,0.250447887027084,0.192749499420381,0.451891664032037,0.267889134787649,0.0872062388028243,0.0372459170485254,0.0377805880493203,0.22278427653072,0.151912741068606,0.269575297713142,0.182158288544631,0.166087048161029,0,0.193961429023079,0.200548002950785,0.0604910949520497
"Respiratory thoracic and mediastinal disorders",0.138252956990446,0.181733962593952,0.28820458405967,0.193372209791935,0.169015465962844,0.225546362671397,0.415637162894173,0.211565811706695,0.244474802417091,0.231053930207966,0.170705929516382,0.246046571763583,0.200397489396868,0.184665371669904,0.208965223864724,0.170108502055474,0.193961429023079,0,0.136910998265708,0.127496469638894
"Neoplasms benign malignant and unspecified (incl cysts and polyps)",0.132302877343481,0.113354308687292,0.168475729894322,0.126636246718698,0.107515056967124,0.118513079260756,0.334536987282823,0.123807988536629,0.103153783618428,0.138702855128657,0.16381792339371,0.126412323123769,0.14372451662694,0.137409656475859,0.138126129958524,0.137904475830132,0.200548002950785,0.136910998265708,0,0.146938672584224
"Hepatobiliary disorders",0.181826205366149,0.0377905960496417,0.260338914666129,0.0487130247881468,0.130409017550938,0.0839469437159572,0.291418700827113,0.134885011095421,0.0713511196288077,0.0444131124427212,0.114144101461424,0.175421121646157,0.124899132539843,0.0864434133548517,0.0481137784950575,0.114484567278596,0.0604910949520497,0.127496469638894,0.146938672584224,0
