"","Eye disorders","Gastrointestinal disorders","Immune system disorders","Nervous system disorders","Vascular disorders","General disorders and administration site conditions","Metabolism and nutrition disorders","Psychiatric disorders","Skin and subcutaneous tissue disorders","Infections and infestations","Musculoskeletal and connective tissue disorders","Respiratory thoracic and mediastinal disorders","Neoplasms benign malignant and unspecified (incl cysts and polyps)","Ear and labyrinth disorders","Blood and lymphatic system disorders","Renal and urinary disorders","Cardiac disorders","Reproductive system and breast disorders","Endocrine disorders","Hepatobiliary disorders"
"Eye disorders",0,0.301975179164482,0.0459998942936171,0.325257822059081,0.118388393637476,0.397954902988988,0.119804230029715,0.125799685369691,0.242038105226359,0.173763328089495,0.200279671386121,0.181733962593952,0.113354308687292,0.153859710962284,0.0882188428596399,0.0701276000699178,0.0680650235972732,0.082042364843503,0.0526967930029155,0.0377905960496417
"Gastrointestinal disorders",0.301975179164482,0,0.206021740279417,0.322013472591311,0.30940419499073,0.433835218587588,0.474173433775671,0.380414552957066,0.323441655868513,0.23503590078329,0.347836992789976,0.28820458405967,0.168476333427668,0.366173187639525,0.243024588841958,0.299579277744081,0.195160790164017,0.360153862366951,0.290233236151604,0.260335632241877
"Immune system disorders",0.0459998942936171,0.206021740279417,0,0.232166452317612,0.117615968710911,0.346998819612058,0.0908194006448089,0.0733249942742376,0.189742957312239,0.24278994379944,0.103363224749388,0.193372209791935,0.126636246718698,0.0470567500881213,0.157167773647399,0.0672116417963038,0.0829971283099311,0.0403625250289809,0.0358600583090379,0.0487130247881468
"Nervous system disorders",0.325257822059081,0.322013472591311,0.232166452317612,0,0.271591115634883,0.432403573464077,0.285038143956727,0.411288006891491,0.214285105367251,0.164373167432311,0.313501878339594,0.211565811706695,0.123804849739745,0.413876160263189,0.142572565634903,0.194100260905564,0.184055918268143,0.267889134787649,0.202842565597668,0.134883310428303
"Vascular disorders",0.118388393637476,0.30940419499073,0.117615968710911,0.271591115634883,0,0.434585044894398,0.14806063470137,0.165821182826575,0.194750808826202,0.193122250899706,0.169391835399324,0.225548002471918,0.118513940892072,0.157149571143226,0.145312443200407,0.148090383078686,0.150615587049624,0.192749499420381,0.140962099125364,0.0839458852899272
"General disorders and administration site conditions",0.397954902988988,0.433835218587588,0.346998819612058,0.432403573464077,0.434585044894398,0,0.498261837603043,0.567463229429219,0.408903362204187,0.317366187989556,0.495169983899946,0.415637162894173,0.33453818570011,0.453648219950652,0.319484946363109,0.369927504837825,0.314347494489469,0.451891664032037,0.327077259475219,0.291427634813965
"Metabolism and nutrition disorders",0.119804230029715,0.474173433775671,0.0908194006448089,0.285038143956727,0.14806063470137,0.498261837603043,0,0.196343681204735,0.185624816451417,0.221972558206244,0.165169820856583,0.200397489396868,0.14372451662694,0.154505933497826,0.182667549976437,0.200078945594932,0.115926481557532,0.151912741068606,0.22817055393586,0.124897557777414
"Psychiatric disorders",0.125799685369691,0.380414552957066,0.0733249942742376,0.411288006891491,0.165821182826575,0.567463229429219,0.196343681204735,0,0.2838805049506,0.196790351912708,0.239181529102724,0.208967446213402,0.138127598932244,0.176594994712725,0.104606025800551,0.0971934190515692,0.0866647523636325,0.182158288544631,0.0792638483965015,0.0481131718633767
"Skin and subcutaneous tissue disorders",0.242038105226359,0.323441655868513,0.189742957312239,0.214285105367251,0.194750808826202,0.408903362204187,0.185624816451417,0.2838805049506,0,0.154700606969924,0.21649905499685,0.169015465962844,0.107515515242447,0.232228880272588,0.113528875870156,0.135805678306328,0.103606359529656,0.250447887027084,0.200801749271137,0.130407373318372
"Infections and infestations",0.173763328089495,0.23503590078329,0.24278994379944,0.164373167432311,0.193122250899706,0.317366187989556,0.221972558206244,0.196790351912708,0.154700606969924,0,0.183878946263154,0.246046571763583,0.126412775972688,0.233051345317824,0.242183311320631,0.233110937815903,0.182723333640638,0.22278427653072,0.167747813411079,0.175418909888669
"Musculoskeletal and connective tissue disorders",0.200279671386121,0.347836992789976,0.103363224749388,0.313501878339594,0.169391835399324,0.495169983899946,0.165169820856583,0.239181529102724,0.21649905499685,0.183878946263154,0,0.184666448888163,0.137404624682082,0.247150746093291,0.102019506731689,0.132984817414243,0.102416252503834,0.269575297713142,0.149453352769679,0.0864423234526496
"Respiratory thoracic and mediastinal disorders",0.181733962593952,0.28820458405967,0.193372209791935,0.211565811706695,0.225548002471918,0.415637162894173,0.200397489396868,0.208967446213402,0.169015465962844,0.246046571763583,0.184666448888163,0,0.136910998265708,0.231053930207966,0.138252956990446,0.170108502055474,0.244474802417091,0.193961429023079,0.170699708454811,0.127494862128529
"Neoplasms benign malignant and unspecified (incl cysts and polyps)",0.113354308687292,0.168476333427668,0.126636246718698,0.123804849739745,0.118513940892072,0.33453818570011,0.14372451662694,0.138127598932244,0.107515515242447,0.126412775972688,0.137404624682082,0.136910998265708,0,0.138702855128657,0.132302877343481,0.137904475830132,0.103153783618428,0.200548002950785,0.16381195335277,0.146936819941245
"Ear and labyrinth disorders",0.153859710962284,0.366173187639525,0.0470567500881213,0.413876160263189,0.157149571143226,0.453648219950652,0.154505933497826,0.176594994712725,0.232228880272588,0.233051345317824,0.247150746093291,0.231053930207966,0.138702855128657,0,0.126013394430737,0.0965221478087181,0.0883562448595935,0.0372459170485254,0.0293150041123252,0.0444131124427212
"Blood and lymphatic system disorders",0.0882188428596399,0.243024588841958,0.157167773647399,0.142572565634903,0.145312443200407,0.319484946363109,0.182667549976437,0.104606025800551,0.113528875870156,0.242183311320631,0.102019506731689,0.138252956990446,0.132302877343481,0.126013394430737,0,0.192559859053231,0.126461443046674,0.135103804405101,0.132507288629738,0.181823912851613
"Renal and urinary disorders",0.0701276000699178,0.299579277744081,0.0672116417963038,0.194100260905564,0.148090383078686,0.369927504837825,0.200078945594932,0.0971934190515692,0.135805678306328,0.233110937815903,0.132984817414243,0.170108502055474,0.137904475830132,0.0965221478087181,0.192559859053231,0,0.103216551617903,0.166087048161029,0.119934402332362,0.114483123825855
"Cardiac disorders",0.0680650235972732,0.195160790164017,0.0829971283099311,0.184055918268143,0.150615587049624,0.314347494489469,0.115926481557532,0.0866647523636325,0.103606359529656,0.182723333640638,0.102416252503834,0.244474802417091,0.103153783618428,0.0883562448595935,0.126461443046674,0.103216551617903,0,0.0872062388028243,0.102405247813411,0.0713502200143734
"Reproductive system and breast disorders",0.082042364843503,0.360153862366951,0.0403625250289809,0.267889134787649,0.192749499420381,0.451891664032037,0.151912741068606,0.182158288544631,0.250447887027084,0.22278427653072,0.269575297713142,0.193961429023079,0.200548002950785,0.0372459170485254,0.135103804405101,0.166087048161029,0.0872062388028243,0,0.0377805880493203,0.0604910949520497
"Endocrine disorders",0.0526967930029155,0.290233236151604,0.0358600583090379,0.202842565597668,0.140962099125364,0.327077259475219,0.22817055393586,0.0792638483965015,0.200801749271137,0.167747813411079,0.149453352769679,0.170699708454811,0.16381195335277,0.0293150041123252,0.132507288629738,0.119934402332362,0.102405247813411,0.0377805880493203,0,0.114139941690962
"Hepatobiliary disorders",0.0377905960496417,0.260335632241877,0.0487130247881468,0.134883310428303,0.0839458852899272,0.291427634813965,0.124897557777414,0.0481131718633767,0.130407373318372,0.175418909888669,0.0864423234526496,0.127494862128529,0.146936819941245,0.0444131124427212,0.181823912851613,0.114483123825855,0.0713502200143734,0.0604910949520497,0.114139941690962,0
