cancer_drug_name,DrugCategory
OTHER,
EVEROLIMUS,TARGETED
NILOTINIB,TARGETED
DOXORUBICIN,CHEMOTHERAPY
VINCRISTINE,CHEMOTHERAPY
CYCLOPHOSPHAMIDE,CHEMOTHERAPY
RITUXIMAB,TARGETED
BOSUTINIB,TARGETED
CRIZOTINIB,TARGETED
TRASTUZUMAB,TARGETED
CAPECITABINE,CHEMOTHERAPY
EMTANSINE,TARGETED
PERTUZUMAB,TARGETED
PACLITAXEL,CHEMOTHERAPY
LEUPROLIDE,HORMONE
ESTRADIOL,HORMONE
ENZALUTAMIDE,HORMONE
ERIBULIN,CHEMOTHERAPY
VINORELBINE,CHEMOTHERAPY
DENOSUMAB,TARGETED
OBINUTUZUMAB,TARGETED
LENALIDOMIDE,TARGETED
LENVATINIB,TARGETED
VISMODEGIB,CHEMOTHERAPY
ABIRATERONE,HORMONE
PONATINIB,TARGETED
CLOFARABINE,CHEMOTHERAPY
CYTARABINE,CHEMOTHERAPY
DAUNORUBICIN,CHEMOTHERAPY
BUSULFAN,CHEMOTHERAPY
IMATINIB,CHEMOTHERAPY
OXALIPLATIN,CHEMOTHERAPY
LEUCOVORIN,OTHER
FLUOROURACIL,CHEMOTHERAPY
BEVACIZUMAB,TARGETED
CARBOPLATIN,CHEMOTHERAPY
NIVOLUMAB,IMMUNOTHERAPY
IPILIMUMAB,IMMUNOTHERAPY
POMALIDOMIDE,TARGETED
SORAFENIB,TARGETED
EXEMESTANE,HORMONE
AVELUMAB,IMMUNOTHERAPY
AXITINIB,TARGETED
SUNITINIB,TARGETED
TEMOZOLOMIDE,CHEMOTHERAPY
ANASTROZOLE,HORMONE
DOCETAXEL,CHEMOTHERAPY
PALBOCICLIB,TARGETED
ATEZOLIZUMAB,IMMUNOTHERAPY
TRABECTEDIN,CHEMOTHERAPY
LETROZOLE,HORMONE
BENDAMUSTINE,CHEMOTHERAPY
TAMOXIFEN,HORMONE
TAXOTERE,CHEMOTHERAPY
CARFILZOMIB,TARGETED
LANREOTIDE ACETATE,TARGETED
FULVESTRANT,HORMONE
DASATINIB,TARGETED
BORTEZOMIB,CHEMOTHERAPY
RAMUCIRUMAB,TARGETED
CHLORAMBUCIL,CHEMOTHERAPY
PEMBROLIZUMAB,IMMUNOTHERAPY
IBRUTINIB,TARGETED
BICALUTAMIDE,HORMONE
FLUDARABINE,CHEMOTHERAPY
DECITABINE,CHEMOTHERAPY
AZACITIDINE,CHEMOTHERAPY
AZATHIOPRINE,CHEMOTHERAPY
BLINATUMOMAB,TARGETED
MERCAPTOPURINE,CHEMOTHERAPY
METHOTREXATE,CHEMOTHERAPY
ETOPOSIDE,CHEMOTHERAPY
IRINOTECAN,CHEMOTHERAPY
RADIUM-223,TARGETED
ABEMACICLIB,TARGETED
FLUTAMIDE,HORMONE
GEMCITABINE,CHEMOTHERAPY
ELOTUZUMAB,TARGETED
ACTINOMYCIN,CHEMOTHERAPY
IFOSFAMIDE,CHEMOTHERAPY
TOPOTECAN,CHEMOTHERAPY
PAZOPANIB,TARGETED
DARATUMUMAB,TARGETED
BLEOMYCIN,CHEMOTHERAPY
BRENTUXIMAB VEDOTIN,TARGETED
VINBLASTINE,CHEMOTHERAPY
GOSERELIN,HORMONE
ALEMTUZUMAB,TARGETED
MELPHALAN,CHEMOTHERAPY
HYDROXYUREA,CHEMOTHERAPY
DACARBAZINE,CHEMOTHERAPY
MECHLORETHAMINE,CHEMOTHERAPY
PROCARBAZINE,CHEMOTHERAPY
CETUXIMAB,TARGETED
VENETOCLAX,TARGETED
CISPLATIN,CHEMOTHERAPY
ABRAXANE,CHEMOTHERAPY
IDARUBICIN,CHEMOTHERAPY
THIOTEPA,CHEMOTHERAPY
VINDESINE,CHEMOTHERAPY
CARMUSTINE,CHEMOTHERAPY
GM-CSF,IMMUNOTHERAPY
VANDETANIB,TARGETED
LUTETIUM LU 177-DOTATATE,TARGETED
KETOCONAZOLE,HORMONE
ALECTINIB,TARGETED
EPIRUBICIN,CHEMOTHERAPY
THALIDOMIDE,TARGETED
CERITINIB,TARGETED
IDELALISIB,TARGETED
DEGARELIX,HORMONE
RIBOCICLIB,TARGETED
MESNA,OTHER
TIOGUANINE,CHEMOTHERAPY
DABRAFENIB,TARGETED
TRAMETINIB,TARGETED
CABAZITAXEL,CHEMOTHERAPY
LOMUSTINE,CHEMOTHERAPY
LAPATINIB DITOSYLATE,TARGETED
INOTUZUMAB OZOGAMICIN,TARGETED
MITOXANTRONE,CHEMOTHERAPY
BRIGATINIB,TARGETED
CABOZANTINIB,TARGETED
INTERFERON ALFA-2A,IMMUNOTHERAPY
ERLOTINIB,CHEMOTHERAPY
COBIMETINIB,TARGETED
PEMETREXED,CHEMOTHERAPY
IXAZOMIB CITRATE,TARGETED
BINIMETINIB,TARGETED
ENCORAFENIB,TARGETED
GLOFITAMAB,TARGETED
MEDROXYPROGESTERONE ACETATE,HORMONE
MEGESTROL ACETATE,HORMONE
RUXOLITINIB,TARGETED
TISAGENLECLEUCEL,CELLULAR THERAPY
LORLATINIB,TARGETED
VEMURAFENIB,CHEMOTHERAPY
ISATUXIMAB,TARGETED
POLATUZUMAB VEDOTIN,TARGETED
PANITUMUMAB,TARGETED
APALUTAMIDE,HORMONE
AFATINIB,TARGETED
FRUQUINTINIB,TARGETED
REGORAFENIB,TARGETED
DERUXTECAN,TARGETED
MOGAMULIZUMAB,TARGETED
GILTERITINIB,TARGETED
AXICABTAGENE CILOLEUCEL,CELLULAR THERAPY
IBRITUMOMAB,TARGETED
NIMUSTINE,CHEMOTHERAPY
RANIMUSTINE,CHEMOTHERAPY
NIRAPARIB TOSYLATE MONOHYDRATE,TARGETED
DURVALUMAB,IMMUNOTHERAPY
CLADRIBINE,CHEMOTHERAPY
PEXIDARTINIB,IMMUNOTHERAPY
NINTEDANIB,TARGETED
SELINEXOR,TARGETED
BCG,IMMUNOTHERAPY
OFATUMUMAB,TARGETED
DOSTARLIMAB,IMMUNOTHERAPY
AVAPRITINIB,TARGETED
TRIPTORELIN,HORMONE
GEMTUZUMAB OZOGAMICIN,TARGETED
TRETINOIN,CHEMOTHERAPY
ERDAFITINIB,TARGETED
BREXUCABTAGENE AUTOLEUCEL,CELLULAR THERAPY
OSIMERTINIB,TARGETED
CEMIPLIMAB,IMMUNOTHERAPY
RIPRETINIB,TARGETED
NELARABINE,CHEMOTHERAPY
ACALABRUTINIB,TARGETED
MIDOSTAURIN,TARGETED
ROMIDEPSIN,CHEMOTHERAPY
GLASDEGIB MALEATE,TARGETED
ENTRECTINIB,TARGETED
CAPMATINIB,TARGETED
OLAPARIB,TARGETED
IDECABTAGENE VICLEUCEL,CELLULAR THERAPY
RUCAPARIB CAMSYLATE,TARGETED
RELUGOLIX,HORMONE
TAZEMETOSTAT HYDROBROMIDE,TARGETED
MOSUNETUZUMAB,TARGETED
PRALATREXATE,TARGETED
BEXAROTENE,CHEMOTHERAPY
ALPELISIB,TARGETED
SOTORASIB,TARGETED
PEMIGATINIB,TARGETED
DAROLUTAMIDE,HORMONE
TAFASITAMAB,TARGETED
URIDINE,OTHER
ALDESLEUKIN,IMMUNOTHERAPY
LIFILEUCEL,CELLULAR THERAPY
BELINOSTAT,TARGETED
EPCORITAMAB,TARGETED
INTERFERON ALFA-2B,IMMUNOTHERAPY
AMIVANTAMAB,TARGETED
FOTEMUSTINE,CHEMOTHERAPY
TREMELIMUMAB,IMMUNOTHERAPY
IMIQUIMOD,OTHER
TREOSULFAN,CHEMOTHERAPY
BELZUTIFAN,TARGETED
ZANUBRUTINIB,TARGETED
TUCATINIB,TARGETED
DACOMITINIB,TARGETED
ENFORTUMAB VEDOTIN,TARGETED
DINUTUXIMAB,TARGETED
TALAZOPARIB TOSYLATE,TARGETED
GEFITINIB,CHEMOTHERAPY
SACITUZUMAB GOVITECAN-HZIY,TARGETED
SONIDEGIB,TARGETED
DUVELISIB,TARGETED
TEMSIROLIMUS,TARGETED
MITOMYCIN,CHEMOTHERAPY
INAVOLISIB,TARGETED
IVOSIDENIB,TARGETED
LURBINECTEDIN,CHEMOTHERAPY
TIVOZANIB,TARGETED
RELATLIMAB,IMMUNOTHERAPY
PEGINTERFERON ALFA-2B,IMMUNOTHERAPY
ASCIMINIB,TARGETED
TAGRAXOFUSP-ERZS,TARGETED
PRALSETINIB,TARGETED
VIPIVOTIDE TETRAXETAN,TARGETED
MELPHALAN FLUFENAMIDE,CHEMOTHERAPY
SELPERCATINIB,TARGETED
ENASIDENIB MESYLATE,TARGETED
LISOCABTAGENE MARALEUCEL,CELLULAR THERAPY
NERATINIB MALEATE,TARGETED
TISOTUMAB VEDOTIN,TARGETED
NECITUMUMAB,TARGETED
TEPOTINIB,TARGETED
RALOXIFENE,HORMONE
NAXITAMAB-GQGK,TARGETED
FEDRATINIB,TARGETED
LONCASTUXIMAB TESIRINE,TARGETED
FUTIBATINIB,TARGETED
CILTACABTAGENE AUTOLEUCEL,CELLULAR THERAPY
LAROTRECTINIB SULFATE,TARGETED
PACRITINIB CITRATE,TARGETED
RETIFANLIMAB,IMMUNOTHERAPY
PIRTOBRUTINIB,TARGETED
TEBENTAFUSP-TEBN,TARGETED
TALIMOGENE LAHERPAREPVEC,IMMUNOTHERAPY
T-VEC,IMMUNOTHERAPY
ARSENIC,CHEMOTHERAPY
TECLISTAMAB-CQYV,TARGETED
TECLISTIMAB,TARGETED
IXABEPILONE,CHEMOTHERAPY
SIROLIMUS PROTEIN-BOUND PARTICLES,TARGETED
ADAGRASIB,TARGETED
SIPULEUCEL-T,IMMUNOTHERAPY
SELUMETINIB SULFATE,TARGETED
BELANTAMAB MAFODOTIN-BLMF,TARGETED
TOREMIFENE,HORMONE
ZIV-AFLIBERCEPT,TARGETED
VORINOSTAT,CHEMOTHERAPY
CALASPARGASE PEGOL-MKNL,CHEMOTHERAPY
ASPARAGINASE ERWINIA CHRYSANTHEMI,CHEMOTHERAPY
CAPIVASERTIB,TARGETED
MOXETUMOMAB PASUDOTOX,TARGETED
IOBENGUANE I 131,TARGETED
MIRVETUXIMAB SORAVTANSINE,TARGETED
VALRUBICIN,CHEMOTHERAPY
SEMUSTINE,CHEMOTHERAPY
OLUTASIDENIB,TARGETED
SILTUXIMAB,TARGETED
OLARATUMAB,TARGETED
METHOXSALEN,OTHER
ELACESTRANT,HORMONE
QUIZARTINIB DIHYDROCHLORIDE,TARGETED
CHLORMETHINE,CHEMOTHERAPY
DOXIFLURIDINE,CHEMOTHERAPY
POLY ICLC,OTHER
STREPTOZOTOCIN,CHEMOTHERAPY
NILUTAMIDE,HORMONE
TENIPOSIDE,CHEMOTHERAPY
TESETAXEL,CHEMOTHERAPY
PIPOBROMAN,CHEMOTHERAPY
ALTRETAMINE,CHEMOTHERAPY
OLARATUMUMAB,TARGETED
DENILEUKIN DIFTITOX,TARGETED
TRIFLURIDINE/TIPIRACIL,CHEMOTHERAPY
MARGETUXIMAB-CMKB,TARGETED
ANDROGENS,HORMONE
NITROSOUREAS,CHEMOTHERAPY
LAROTAXEL,CHEMOTHERAPY
CAMPTOTHECIN,CHEMOTHERAPY
ALL-TRANS RETINOIC ACID,CHEMOTHERAPY
TRIETHYLENEMELAMINE,CHEMOTHERAPY
ELRANATAMAB-BCMM,TARGETED
TALQUETAMAB-TGVS,TARGETED
MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE,TARGETED
REPOTRECTINIB,TARGETED
NIROGACESTAT HYDROBROMIDE,TARGETED
EPOTHILONE,CHEMOTHERAPY
VORASIDENIB,TARGETED
TISLELIZUMAB-JSGR,TARGETED
TOVORAFENIB,TARGETED
TARLATAMAB-DLLE,TARGETED
IMETELSTAT SODIUM,TARGETED
LAZERTINIB MESYLATE HYDRATE,TARGETED
TORIPALIMAB-TPZI,TARGETED
ZOLBETUXIMAB-CLZB,TARGETED
REVUMENIB CITRATE,TARGETED
CARBOQUONE,CHEMOTHERAPY
MITOBRONITOL,CHEMOTHERAPY
