indi_pt,count
Product used for unknown indication,19615597
Rheumatoid arthritis,2159736
Pain,1007835
Dyspepsia,901027
Hypertension,790539
Multiple sclerosis,718847
Gastrooesophageal reflux disease,711997
Type 2 diabetes mellitus,532375
Psoriasis,532181
Crohn's disease,469503
Diabetes mellitus,462087
Prophylaxis,445299
Asthma,437200
Acne,404062
Psoriatic arthropathy,364853
HIV infection,342190
Depression,339791
Pulmonary arterial hypertension,338886
Colitis ulcerative,273014
Dermatitis atopic,271345
Atrial fibrillation,256251
Migraine,210134
Premedication,200096
Contraception,195342
Schizophrenia,194903
Peritoneal dialysis,194610
Abdominal discomfort,190334
Chronic obstructive pulmonary disease,188520
Anxiety,185173
Osteoporosis,183749
Parkinson's disease,173569
Hepatitis C,171473
Immunosuppressant drug therapy,151235
Epilepsy,142429
Blood cholesterol increased,142058
Ankylosing spondylitis,131650
Cerebrovascular accident prophylaxis,128520
Constipation,125847
Insomnia,118758
Bipolar disorder,116714
Thrombosis prophylaxis,108791
Ill-defined disorder,108710
Hypothyroidism,106089
Back pain,102070
Seizure,101166
Chronic hepatitis C,97605
Hyperchlorhydria,96758
Weight control,95446
COVID-19 immunisation,93365
Narcolepsy,92622
Hypersensitivity,92577
Cardiac failure,91160
Nausea,90735
Systemic lupus erythematosus,89145
Pulmonary hypertension,88284
Hypercholesterolaemia,86856
COVID-19,85826
Chemotherapy,85172
Gastric ulcer,83083
Relapsing-remitting multiple sclerosis,82036
Arthritis,81014
Immunosuppression,73095
Renal transplant,72875
Supplementation therapy,72647
Off label use,70588
Anticoagulant therapy,70500
Cardiac disorder,68822
Infection,67140
Skin wrinkling,66764
Cystic fibrosis,66535
Short-bowel syndrome,66229
Headache,66174
Attention deficit/hyperactivity disorder,64954
Arthralgia,64720
Hyperlipidaemia,63065
Sleep disorder,62679
Foetal exposure during pregnancy,62462
Pneumonia,60134
Neuralgia,59559
Eczema,59145
Deep vein thrombosis,58837
Fibromyalgia,58736
Vitamin supplementation,57873
Idiopathic pulmonary fibrosis,55937
Prophylaxis against graft versus host disease,55092
Blood pressure abnormal,55081
COVID-19 treatment,54120
Prophylaxis against transplant rejection,53025
Diarrhoea,53017
Type 1 diabetes mellitus,53011
Coronary artery disease,52627
Neuropathy peripheral,51524
Cataplexy,50325
Blood cholesterol abnormal,49946
Pyrexia,48556
Infection prophylaxis,48364
Psychotic disorder,48297
Analgesic therapy,47829
Tuberculosis,47349
Juvenile idiopathic arthritis,47260
Bone marrow conditioning regimen,47242
Major depression,45825
Urinary tract infection,45658
Dyspnoea,45236
Blood cholesterol,44533
Blood pressure measurement,43057
Pulmonary embolism,43032
Immunodeficiency common variable,42873
Anaemia,41607
Thyroid disorder,41206
Antibiotic therapy,40562
Myelofibrosis,40491
Glaucoma,39610
Hereditary angioedema,39603
Cough,39564
Dyslipidaemia,39325
Osteoporosis postmenopausal,39229
Alopecia,39207
Smoking cessation therapy,38544
Dry eye,38482
Parkinson's disease psychosis,37673
Chronic kidney disease,36859
Hidradenitis,36858
Neutropenia,35845
Angina pectoris,35209
Gout,35128
Muscle spasms,34464
Vomiting,34273
Myasthenia gravis,34197
Suicide attempt,33634
Prophylaxis of nausea and vomiting,32156
Osteoarthritis,32144
Nasal polyps,31773
Gastrointestinal disorder,31755
Factor VIII deficiency,31234
Attention deficit hyperactivity disorder,30743
Antiviral prophylaxis,30171
Seasonal allergy,30119
Post coital contraception,29974
Hallucination,29899
Pruritus,29295
Thrombosis,29229
Drug dependence,29084
Schizoaffective disorder,29075
End stage renal disease,29032
Erosive oesophagitis,28868
Cardiovascular event prophylaxis,28825
Nutritional supplementation,28644
Chronic spontaneous urticaria,27948
Pain in extremity,27551
Bone disorder,27361
Status epilepticus,27133
Sickle cell disease,27132
Weight decreased,27036
Antibiotic prophylaxis,26693
Anaesthesia,26616
Erectile dysfunction,26209
Tardive dyskinesia,25778
Antifungal prophylaxis,25580
Rash,25460
Hyperparathyroidism secondary,25233
Gait disturbance,24736
Affective disorder,24679
Immune thrombocytopenia,24545
Hormone replacement therapy,24423
Myocardial infarction,24341
Multiple allergies,24294
Delusion,24044
Paroxysmal nocturnal haemoglobinuria,23902
Cerebrovascular accident,23805
Nasopharyngitis,23712
Bronchitis,23469
Partial seizures,23096
Polycythaemia vera,23013
Chest pain,22794
Drug abuse,22756
Growth hormone deficiency,22671
Urticaria,22486
Interstitial lung disease,22333
Inflammation,22224
Lupus nephritis,22143
Neovascular age-related macular degeneration,21948
Cardiac failure congestive,21891
Restless legs syndrome,21721
Abdominal pain,21702
Hypertonic bladder,21527
Relapsing multiple sclerosis,21457
Pain management,21054
Type IIa hyperlipidaemia,21032
Muscle spasticity,20629
Sedation,20473
Primary immunodeficiency syndrome,20422
Graft versus host disease,20389
Dementia Alzheimer's type,20080
Gastritis,20070
Migraine prophylaxis,19926
Eosinophilic oesophagitis,19853
Cardiac failure chronic,19720
Sinusitis,19689
Somnolence,19649
Mineral supplementation,19555
Liver transplant,19398
Vitamin D deficiency,19385
Stem cell transplant,19270
Arrhythmia,19130
Prophylaxis against gastrointestinal ulcer,19026
Dermatitis,18829
Antiplatelet therapy,18688
Hyperuricaemia,18679
Neurodermatitis,18420
Irritable bowel syndrome,18375
Glucose tolerance impaired,18289
Bacterial infection,18239
Diuretic therapy,18074
Sepsis,18022
Oedema,18009
General anaesthesia,17841
Agitation,17841
Nephrogenic anaemia,17766
COVID-19 pneumonia,17709
Mental disorder,17697
Pulmonary tuberculosis,17180
Lennox-Gastaut syndrome,17073
Fluid retention,16928
Blood testosterone decreased,16610
Fungal infection,16555
Acromegaly,16468
Emphysema,16383
Influenza,16378
Osteopenia,16374
Uveitis,16364
Androgen replacement therapy,16360
Bipolar I disorder,16353
Diabetic neuropathy,16322
Gastric disorder,16146
Hyperkalaemia,16140
Induction of anaesthesia,16023
Maternal exposure timing unspecified,15977
Colitis,15957
Immunisation,15925
Myocardial ischaemia,15896
Immune system disorder,15834
Low density lipoprotein increased,15833
Hypokalaemia,15793
Staphylococcal infection,15788
Dermatomyositis,15582
Lung disorder,15375
Generalised tonic-clonic seizure,15350
Abdominal pain upper,15332
Alcoholism,15318
Still's disease,15318
Herpes zoster,15307
Antiretroviral therapy,15298
Drug therapy,15166
Inflammatory bowel disease,15152
Evidence based treatment,15089
Acute myocardial infarction,14820
Autism spectrum disorder,14809
Allogenic stem cell transplantation,14740
Premature delivery,14680
Blood pressure increased,14655
Dementia,14501
Acute coronary syndrome,14497
Immune thrombocytopenic purpura,14295
Wheezing,14284
Prophylaxis against HIV infection,14214
Spinal muscular atrophy,14203
Endometriosis,14014
Routine health maintenance,14013
Antidepressant therapy,14001
Intestinal ulcer,13923
Hepatitis B,13797
Stent placement,13549
Renal failure,13427
Rhinitis allergic,13325
Granulomatosis with polyangiitis,13224
Hypotension,12996
Hepatic cirrhosis,12955
Myalgia,12934
Cardiovascular disorder,12918
Essential hypertension,12827
Complex regional pain syndrome,12806
Aplastic anaemia,12770
Blood pressure,12743
Obsessive-compulsive disorder,12739
Nephrotic syndrome,12685
Mycobacterium avium complex infection,12644
Amyloidosis,12629
Febrile neutropenia,12558
Senile osteoporosis,12487
Colonoscopy,12416
Secondary progressive multiple sclerosis,12377
Post-traumatic stress disorder,12359
Haemolytic uraemic syndrome,12269
Dermatitis allergic,12155
Blood glucose increased,12135
Neck pain,12111
Idiopathic urticaria,11946
Cellulitis,11934
Primary progressive multiple sclerosis,11876
Pseudomonas infection,11871
Hypopituitarism,11857
Oral herpes,11659
Heart transplant,11569
Neurotrophic keratopathy,11536
Acquired immunodeficiency syndrome,11490
Medication dilution,11412
Helicobacter infection,11361
Renal failure chronic,11183
Phenylketonuria,11166
Nasal congestion,11002
Orthostatic hypotension,10928
Illness,10842
Adverse drug reaction,10834
Neuromyelitis optica spectrum disorder,10832
Iron deficiency anaemia,10818
Intentional overdose,10759
IgA nephropathy,10709
Diabetic retinal oedema,10685
Toxicity to various agents,10643
Obesity,10642
Cytomegalovirus infection,10635
Menorrhagia,10633
Haemorrhage,10624
Age-related macular degeneration,10619
Muscle relaxant therapy,10618
Infantile spasms,10559
Skin hyperpigmentation,10498
Embolism venous,10489
Polyarthritis,10222
Chronic graft versus host disease,10219
Drug use for unknown indication,10115
Pulmonary fibrosis,10089
Hypoparathyroidism,10084
Hypogammaglobulinaemia,10070
Antacid therapy,9962
Adverse event,9845
Anxiety disorder,9823
Hot flush,9718
Severe myoclonic epilepsy of infancy,9680
Procedural pain,9636
Hiatus hernia,9628
Ulcer,9575
Oedema peripheral,9550
Drug use disorder,9536
Fabry's disease,9500
Sciatica,9445
Atypical haemolytic uraemic syndrome,9428
Fatigue,9410
Sarcoidosis,9404
Product use in unapproved indication,9361
Menopause,9356
Urinary incontinence,9319
Convulsion,9304
Hyperthyroidism,9284
Gastritis prophylaxis,9276
Upper respiratory tract infection,9259
Lung transplant,9213
Panic attack,9212
Acne cystic,9086
Rhinorrhoea,9078
Behcet's syndrome,9065
Lower respiratory tract infection,9008
Thrombocytopenia,9007
Musculoskeletal pain,8966
Anaphylactic reaction,8941
Transplant rejection,8910
Chronic inflammatory demyelinating polyradiculoneuropathy,8893
Sleep disorder therapy,8880
Osteomyelitis,8853
Blood triglycerides increased,8826
Sedative therapy,8789
Osteoporosis prophylaxis,8786
Trigeminal neuralgia,8741
Axial spondyloarthritis,8728
Aggression,8727
Gaucher's disease,8682
Surgery,8651
Hereditary hypophosphataemic rickets,8621
Transplant,8606
Hormone therapy,8569
Prostatomegaly,8518
Autoimmune thyroiditis,8517
Aspergillus infection,8500
Breakthrough pain,8475
COVID-19 prophylaxis,8470
Cystitis interstitial,8450
Cerebral infarction,8443
Polymyalgia rheumatica,8409
Sjogren's syndrome,8351
Arteriosclerosis,8286
Hypovitaminosis,8267
Pemphigoid,8258
Respiratory tract infection,8256
Local anaesthesia,8225
Vehicle solution use,8185
Cardiac amyloidosis,8072
Giant cell arteritis,7980
Tachycardia,7975
Pemphigus,7971
Swelling,7964
Mania,7946
Iron deficiency,7926
Bladder disorder,7901
Ex-tobacco user,7889
Chronic hepatitis B,7887
Intentional product misuse,7859
Ischaemic stroke,7857
Candida infection,7846
Condition aggravated,7843
Primary biliary cholangitis,7838
Nerve injury,7830
Alpha-1 antitrypsin deficiency,7729
Tremor,7715
Renal disorder,7690
Bronchopulmonary aspergillosis,7656
Dizziness,7630
Bone pain,7600
Immunodeficiency,7593
Rosacea,7568
Adjuvant therapy,7563
Pancreatic failure,7532
Rett syndrome,7494
Carcinoid syndrome,7489
Exposure during pregnancy,7468
Parenteral nutrition,7457
Generalised anxiety disorder,7443
Hyperphosphataemia,7365
Pneumocystis jirovecii pneumonia,7331
Congenital cystic kidney disease,7330
Anti-infective therapy,7328
Blood glucose abnormal,7326
Rheumatic disorder,7311
Sleep apnoea syndrome,7262
Clostridium difficile infection,7261
Anti-neutrophil cytoplasmic antibody positive vasculitis,7236
Factor IX deficiency,7188
Blood pressure management,7184
Diagnostic procedure,7144
Seborrhoea,7127
Hereditary neuropathic amyloidosis,7103
Vasculitis,7059
Menopausal symptoms,7058
Poisoning deliberate,7043
Antiemetic supportive care,7007
Eosinophilic granulomatosis with polyangiitis,6975
Mycobacterial infection,6974
Duchenne muscular dystrophy,6900
Oppositional defiant disorder,6859
Decreased appetite,6849
Septic shock,6818
Prostatic disorder,6799
Ventricular tachycardia,6777
Supportive care,6718
Endocarditis,6697
Device related infection,6684
Cystitis,6669
Erythema,6636
Postoperative care,6599
Antiviral treatment,6571
Hyperglycaemia,6530
Antiinflammatory therapy,6527
Constipation prophylaxis,6490
Essential thrombocythaemia,6430
Dyskinesia,6428
Bacteraemia,6406
Abnormal behaviour,6386
Seizure prophylaxis,6372
Dry skin,6349
Scleroderma,6319
Spondylitis,6319
Peripheral arterial occlusive disease,6318
Systemic scleroderma,6300
Hypophosphatasia,6249
Thyroidectomy,6246
Transient ischaemic attack,6245
Barrett's oesophagus,6220
Pollakiuria,6216
Mycobacterium abscessus infection,6216
Macular degeneration,6206
On and off phenomenon,6192
Cardiomyopathy,6184
Toothache,6173
Sinus disorder,6138
Maintenance of anaesthesia,6135
Respiratory disorder,6128
Intentional self-injury,6125
Hypersomnia,6113
Bronchiectasis,6095
Chemotherapy side effect prophylaxis,6084
Behaviour disorder,6041
Oropharyngeal pain,6029
Cor pulmonale chronic,6026
Arthropathy,6023
Productive cough,6020
Amyotrophic lateral sclerosis,6004
Short stature,5944
