drug,brand_name,type
ABRAXANE,,CHEMOTHERAPY
ACTINOMYCIN,,CHEMOTHERAPY
ALITRETINOIN,,CHEMOTHERAPY
ALL-TRANS RETINOIC ACID,,CHEMOTHERAPY
ALTRETAMINE,,CHEMOTHERAPY
AZACITIDINE,,CHEMOTHERAPY
AZATHIOPRINE,,CHEMOTHERAPY
BELOTECAN,,CHEMOTHERAPY
BENDAMUSTINE,,CHEMOTHERAPY
BEXAROTENE,,CHEMOTHERAPY
BLEOMYCIN,,CHEMOTHERAPY
BORTEZOMIB,,CHEMOTHERAPY
BUSULFAN,,CHEMOTHERAPY
CABAZITAXEL,,CHEMOTHERAPY
CAMPTOTHECIN,,CHEMOTHERAPY
CARBOPLATIN,,CHEMOTHERAPY
CARBOQUONE,,CHEMOTHERAPY
CARMUSTINE,,CHEMOTHERAPY
CAPECITABINE,,CHEMOTHERAPY
CISPLATIN,,CHEMOTHERAPY
CHLORAMBUCIL,,CHEMOTHERAPY
CHLORMETHINE,,CHEMOTHERAPY
CHLOROZOTOCIN,,CHEMOTHERAPY
CLADRIBINE,,CHEMOTHERAPY
CLOFARABINE,,CHEMOTHERAPY
CYCLOPHOSPHAMIDE,,CHEMOTHERAPY
CYTARABINE,,CHEMOTHERAPY
DACARBAZINE,,CHEMOTHERAPY
DAUNORUBICIN,,CHEMOTHERAPY
DECITABINE,,CHEMOTHERAPY
DOCETAXEL,,CHEMOTHERAPY
DOXIFLURIDINE,,CHEMOTHERAPY
DOXORUBICIN,,CHEMOTHERAPY
EPIRUBICIN,,CHEMOTHERAPY
EPOTHILONE,,CHEMOTHERAPY
ERLOTINIB,,CHEMOTHERAPY
ETOPOSIDE,,CHEMOTHERAPY
EXATECAN,,CHEMOTHERAPY
FLUDARABINE,,CHEMOTHERAPY
FLUOROURACIL,,CHEMOTHERAPY
FOTEMUSTINE,,CHEMOTHERAPY
GEFITINIB,,CHEMOTHERAPY
GEMCITABINE,,CHEMOTHERAPY
GIMATECAN,,CHEMOTHERAPY
HYDROXYUREA,,CHEMOTHERAPY
IDARUBICIN,,CHEMOTHERAPY
IFOSFAMIDE,,CHEMOTHERAPY
IMATINIB,,CHEMOTHERAPY
IRINOTECAN,,CHEMOTHERAPY
IXABEPILONE,,CHEMOTHERAPY
LAROTAXEL,,CHEMOTHERAPY
LOMUSTINE,,CHEMOTHERAPY
MELPHALAN,,CHEMOTHERAPY
MELPHALAN FLUFENAMIDE,,CHEMOTHERAPY
MERCAPTOPURINE,,CHEMOTHERAPY
METHOTREXATE,,CHEMOTHERAPY
MITOBRONITOL,,CHEMOTHERAPY
MITOMYCIN C,,CHEMOTHERAPY
MITOXANTRONE,,CHEMOTHERAPY
NELARABINE,,CHEMOTHERAPY
NIMUSTINE,,CHEMOTHERAPY
NITROSOUREAS,,CHEMOTHERAPY
OXALIPLATIN,,CHEMOTHERAPY
PACLITAXEL,,CHEMOTHERAPY
PEMETREXED,,CHEMOTHERAPY
PIPOBROMAN,,CHEMOTHERAPY
RANIMUSTINE,,CHEMOTHERAPY
ROMIDEPSIN,,CHEMOTHERAPY
SEMUSTINE,,CHEMOTHERAPY
STREPTOZOTOCIN,,CHEMOTHERAPY
TAFLUPOSIDE,,CHEMOTHERAPY
TAXOTERE,,CHEMOTHERAPY
TEMOZOLOMIDE,,CHEMOTHERAPY
TESETAXEL,,CHEMOTHERAPY
TENIPOSIDE,,CHEMOTHERAPY
THIOTEPA,,CHEMOTHERAPY
TIOGUANINE,THIOGUANINE,CHEMOTHERAPY
TOPOTECAN,,CHEMOTHERAPY
TREOSULFAN,,CHEMOTHERAPY
TRETINOIN,,CHEMOTHERAPY
TRIAZIQUONE,,CHEMOTHERAPY
TRIETHYLENEMELAMINE,,CHEMOTHERAPY
VALRUBICIN,,CHEMOTHERAPY
VEMURAFENIB,,CHEMOTHERAPY
VINBLASTINE,,CHEMOTHERAPY
VINCRISTINE,,CHEMOTHERAPY
VINDESINE,,CHEMOTHERAPY
VINORELBINE,,CHEMOTHERAPY
VISMODEGIB,,TARGETED
VORINOSTAT,,CHEMOTHERAPY
TRABECTEDIN,YONDELIS,CHEMOTHERAPY
MECHLORETHAMINE HYDROCHLORIDE,NITROGEN MUSTARD,CHEMOTHERAPY
ASPARAGINASE ERWINIA CHRYSANTHEMI,ERWINAZE,CHEMOTHERAPY
CALASPARGASE PEGOL-MKNL,ASPARLAS,CHEMOTHERAPY
