drug,brand_name,type
ALEMTUZUMAB,CAMPATH,TARGETED/BIOLOGIC
BEVACIZUMAB,AVASTIN,TARGETED/BIOLOGIC
CETUXIMAB,ERBITUX,TARGETED/BIOLOGIC
DARATUMUMAB,DARZALEX,TARGETED/BIOLOGIC
DENOSUMAB,XGEVA,TARGETED/BIOLOGIC
DINUTUXIMAB,UNITUXIN,TARGETED/BIOLOGIC
ELOTUZUMAB,EMPLICITI,TARGETED/BIOLOGIC
ISATUXIMAB,SARCLISA,TARGETED/BIOLOGIC
MARGETUXIMAB-CMKB,MARGENZA,TARGETED/BIOLOGIC
MOGAMULIZUMAB,POTELIGEO,TARGETED/BIOLOGIC
NAXITAMAB-GQGK,DANYELZA,TARGETED/BIOLOGIC
NECITUMUMAB,PORTRAZZA,TARGETED/BIOLOGIC
OBINUTUZUMAB,GAZYVA,TARGETED/BIOLOGIC
OFATUMUMAB,ARZERRA,TARGETED/BIOLOGIC
OLARATUMUMAB,LARTRUVO,TARGETED/BIOLOGIC
PANITUMUMAB,VECTIBIX,TARGETED/BIOLOGIC
PERTUZUMAB,PERJETA,TARGETED/BIOLOGIC
RAMUCIRUMAB,CYRAMZA,TARGETED/BIOLOGIC
RITUXIMAB,RITUXAN,TARGETED/BIOLOGIC
TAFASITAMAB,MONJUVI,TARGETED/BIOLOGIC
TRASTUZUMAB,HERCEPTIN,TARGETED/BIOLOGIC
BRENTUXIMAB VEDOTIN,ADCETRIS,ANTIBODY-CONJUGATE
ENFORTUMAB VEDOTIN,PADCEV,ANTIBODY-CONJUGATE
GEMTUZUMAB OZOGAMICIN,MYLOTARG,ANTIBODY-CONJUGATE
IBRITUMOMAB TIUXETAN,ZEVALIN,ANTIBODY-CONJUGATE
INOTUZUMAB OZOGAMICIN,BESPONSA,ANTIBODY-CONJUGATE
LONCASTUXIMAB TESIRINE,ZYLONTA,ANTIBODY-CONJUGATE
MIRVETUXIMAB SORAVTANSINE,ELAHERE,ANTIBODY-CONJUGATE
MOXETUMOMAB PASUDOTOX,LUMOXITI,ANTIBODY-CONJUGATE
POLATUZUMAB VEDOTIN,POLIVY,ANTIBODY-CONJUGATE
SACITUZUMAB GOVITECAN-HZIY,TRODELVY,ANTIBODY-CONJUGATE
TISOTUMAB VEDOTIN,TIVDAK,ANTIBODY-CONJUGATE
TRASTUZUMAB DERUXTECAN,ENHERTU,ANTIBODY-CONJUGATE
TRASTUZUMAB EMTANSINE,KADCYLA,ANTIBODY-CONJUGATE
AMIVANTAMAB,RYBREVANT,BISPECIFIC ANTIBODY
BLINATUMOMAB,BLINCYTO,BISPECIFIC ANTIBODY
EPCORITAMAB,EPKINLY,BISPECIFIC ANTIBODY
GLOFITAMAB,COLUMVI,BISPECIFIC ANTIBODY
MOSUNETUZUMAB,LUNSUMIO,BISPECIFIC ANTIBODY
TEBENTAFUSP-TEBN,KIMMTRAK,BISPECIFIC ANTIBODY
TECLISTAMAB,TECVAYLI,BISPECIFIC ANTIBODY
